onset	duration	trial_type	value	sample
18.08	3.0	rest	1	18080
26.28	3.0	right_elbow_flexion	2	26280
34.88	3.0	right_hand	3	34880
51.0	3.0	right_elbow_flexion	2	51000
59.32	3.0	right_hand	3	59320
66.8	3.0	rest	1	66800
75.04	3.0	right_elbow_flexion	2	75040
83.32	3.0	right_hand	3	83320
100.6	3.0	rest	1	100600
115.16	3.0	right_elbow_flexion	2	115160
122.8	3.0	rest	1	122800
130.28	3.0	right_hand	3	130280
137.96	3.0	right_elbow_flexion	2	137960
145.04	3.0	rest	1	145040
161.32	3.0	right_hand	3	161320
168.88	3.0	rest	1	168880
177.6	3.0	right_hand	3	177600
195.44	3.0	right_elbow_flexion	2	195440
204.04	3.0	right_elbow_flexion	2	204040
211.16	3.0	rest	1	211160
227.36	3.0	right_hand	3	227360
242.36	3.0	rest	1	242360
251.36	3.0	right_hand	3	251360
259.92	3.0	right_elbow_flexion	2	259920
267.24	3.0	rest	1	267240
275.44	3.0	right_hand	3	275440
284.24	3.0	right_elbow_flexion	2	284240
299.2	3.0	right_elbow_flexion	2	299200
313.76	3.0	rest	1	313760
321.08	3.0	right_hand	3	321080
328.16	3.0	right_hand	3	328160
335.52	3.0	right_elbow_flexion	2	335520
351.52	3.0	rest	1	351520
358.52	3.0	right_hand	3	358520
375.92	3.0	rest	1	375920
383.08	3.0	right_elbow_flexion	2	383080
399.2	3.0	right_elbow_flexion	2	399200
407.28	3.0	right_hand	3	407280
415.72	3.0	rest	1	415720
423.04	3.0	right_hand	3	423040
431.72	3.0	right_elbow_flexion	2	431720
440.72	3.0	rest	1	440720
457.68	3.0	rest	1	457680
475.04	3.0	right_hand	3	475040
482.04	3.0	right_elbow_flexion	2	482040
490.44	3.0	right_elbow_flexion	2	490440
498.08	3.0	right_hand	3	498080
513.64	3.0	rest	1	513640
529.08	3.0	right_hand	3	529080
536.4	3.0	rest	1	536400
544.52	3.0	right_elbow_flexion	2	544520
552.8	3.0	right_hand	3	552800
561.6	3.0	rest	1	561600
569.28	3.0	right_elbow_flexion	2	569280
584.88	3.0	right_elbow_flexion	2	584880
602.04	3.0	rest	1	602040
610.08	3.0	right_hand	3	610080
617.44	3.0	right_hand	3	617440
625.0	3.0	right_elbow_flexion	2	625000
640.32	3.0	rest	1	640320
